"id","categorie","type_cancer","sous_type","stade","titre","contenu","protocole","effets_secondaires","mots_cles","scenario_patient","reference","est_synthetique","date_creation"
"ONC-SYN-037","traitement","colorectal","adénocarcinome côlon","II haut risque (côlon)","Cancer du côlon stade II à haut risque — chimiothérapie adjuvante discutée","Après résection chirurgicale curative d'un cancer du côlon stade III (envahissement ganglionnaire), une chimiothérapie adjuvante est indiquée pendant 6 mois. Les deux standards sont FOLFOX (Oxaliplatine + Leucovorine + 5-FU IV bimensuel) ou CAPOX (Oxaliplatine + Capécitabine orale, toutes les 3 semaines). CAPOX pendant 3 mois est une option pour les stades III de faible risque (T1-3 N1). L'Oxaliplatine ne doit pas être utilisé en cas de neuropathie préexistante sévère.","{""nom"": ""FOLFOX adjuvant"", ""medicaments"": [{""nom"": ""Oxaliplatine"", ""dose"": ""85 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1""}, {""nom"": ""Acide folinique (Leucovorine)"", ""dose"": ""400 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1""}, {""nom"": ""5-Fluorouracile bolus"", ""dose"": ""400 mg/m²"", ""voie"": ""IV bolus"", ""jour"": ""J1""}, {""nom"": ""5-Fluorouracile perfusion"", ""dose"": ""2400 mg/m²"", ""voie"": ""IV perfusion 46h"", ""jour"": ""J1-J2""}], ""frequence"": ""Toutes les 2 semaines"", ""cycles"": ""12 cycles (6 mois)"", ""remarques"": ""Alternative : CAPOX (Oxaliplatine 130mg/m² J1 + Capécitabine 1000mg/m² x2/j J1-J14) toutes les 3 semaines x8 cycles.""}","neuropathie périphérique cumulative (Oxaliplatine); neutropénie; diarrhées; mucite; syndrome main-pied (Capécitabine); nausées","colorectal; côlon; FOLFOX; CAPOX; Oxaliplatine; 5-FU; adjuvant; stade III","Homme de 73 ans, cancer du côlon stade IIA (T3 N0) avec perforation tumorale (facteur de haut risque). Discussion RCP : chimiothérapie adjuvante CAPOX x4 cycles (3 mois) retenue vu le facteur de risque. Tolérance correcte malgré l'âge, syndrome main-pied grade 1, pas d'interruption de traitement.","Guide AMFROM 2024, Chapitre III – Colorectal adjuvant","True","2026-05-02"
"ONC-SYN-038","traitement","poumon","CBNPC ALK réarrangé","III-IV","CBNPC ALK réarrangé — Alectinib en 1ère ligne","L'Osimertinib (inhibiteur de tyrosine kinase de 3ème génération) est le traitement standard de première ligne pour les CBNPC avec mutation EGFR activatrice (délétion exon 19 ou L858R exon 21). Il bloque à la fois les mutations sensibilisantes et la mutation de résistance T790M. L'étude FLAURA a démontré sa supériorité sur les ITK de 1ère génération en survie sans progression et survie globale. Dose : 80 mg par jour en continu, per os. Prise en charge de longue durée jusqu'à progression ou toxicité intolérable.","{""nom"": ""Osimertinib 1ère ligne EGFR muté"", ""medicaments"": [{""nom"": ""Osimertinib"", ""dose"": ""80 mg/jour"", ""voie"": ""orale"", ""jour"": ""continu""}], ""frequence"": ""Continu, 1 comprimé/jour"", ""cycles"": ""Jusqu'à progression"", ""remarques"": ""Bilan hépatique et ECG avant traitement. Surveillance pneumopathie interstitielle (rare mais grave).""}","diarrhées; rash cutané acnéiforme; paronychia; sécheresse cutanée; pneumopathie interstitielle (rare); allongement QT","poumon; CBNPC; EGFR; Osimertinib; ITK; 1ère ligne; FLAURA; T790M","Femme non-fumeuse de 35 ans, adénocarcinome pulmonaire stade IV (plèvre + foie), ALK réarrangé. 1ère ligne : Alectinib 600mg x2/j. Réponse rapide, stabilité cérébrale sans RT. Tolérance : bradycardie asymptomatique grade 1, myalgies légères. Progression à 28 mois (mutation ALK G1202R).","Guide AMFROM 2024, Chapitre IV – CBNPC EGFR+","True","2026-05-02"
"ONC-SYN-039","traitement","poumon","CBPC extensif","III-IV","Cancer bronchique à petites cellules extensif — Carboplatine + Etoposide + Atézolizumab","L'Osimertinib (inhibiteur de tyrosine kinase de 3ème génération) est le traitement standard de première ligne pour les CBNPC avec mutation EGFR activatrice (délétion exon 19 ou L858R exon 21). Il bloque à la fois les mutations sensibilisantes et la mutation de résistance T790M. L'étude FLAURA a démontré sa supériorité sur les ITK de 1ère génération en survie sans progression et survie globale. Dose : 80 mg par jour en continu, per os. Prise en charge de longue durée jusqu'à progression ou toxicité intolérable.","{""nom"": ""Osimertinib 1ère ligne EGFR muté"", ""medicaments"": [{""nom"": ""Osimertinib"", ""dose"": ""80 mg/jour"", ""voie"": ""orale"", ""jour"": ""continu""}], ""frequence"": ""Continu, 1 comprimé/jour"", ""cycles"": ""Jusqu'à progression"", ""remarques"": ""Bilan hépatique et ECG avant traitement. Surveillance pneumopathie interstitielle (rare mais grave).""}","diarrhées; rash cutané acnéiforme; paronychia; sécheresse cutanée; pneumopathie interstitielle (rare); allongement QT","poumon; CBNPC; EGFR; Osimertinib; ITK; 1ère ligne; FLAURA; T790M","Homme de 70 ans, fumeur, CBPC stade extensif (poumon bilatéral + foie + os). Performance status 1. 1ère ligne : Carboplatine AUC5 + Etoposide 100mg/m² J1-J3 + Atézolizumab toutes les 3 semaines x4 cycles, puis maintenance Atézolizumab. Réponse partielle à C2. Pneumopathie immunitaire grade 2 à M4 : corticoïdes + pause immunothérapie.","Guide AMFROM 2024, Chapitre IV – CBNPC EGFR+","True","2026-05-02"
"ONC-SYN-040","traitement","sein","HER2+ métastatique cérébral","IV avec métastases cérébrales","Cancer du sein HER2+ avec métastases cérébrales — prise en charge combinée","Les métastases cérébrales dans les cancers du sein HER2+ sont fréquentes (20-30% des cas métastatiques). La prise en charge combine le traitement local (radiochirurgie stéréotaxique pour ≤4 lésions, irradiation encéphalique totale pour les lésions multiples) et le traitement systémique. Le Trastuzumab deruxtecan (T-DXd) et le Tucatinib + Trastuzumab + Capécitabine ont montré une activité sur les métastases cérébrales dans les essais récents. L'accès à ces molécules dépend des ressources locales et de l'AMM au Maroc.","","toxicités neurologiques post-RT; alopécie; fatigue; effets systémiques des thérapies ciblées","sein; HER2; métastases cérébrales; radiochirurgie; T-DXd; Tucatinib; SNC","Femme de 50 ans, cancer du sein HER2+ traité en adjuvant, rechute métastatique cérébrale (3 lésions) + pulmonaire à 2 ans. Radiochirurgie stéréotaxique sur les 3 métastases cérébrales. Traitement systémique : TDM-1 (meilleure pénétrance SNC disponible localement). Stabilité cérébrale à 6 mois. Apparition nouvelle lésion hépatique à 10 mois.","Guide AMFROM 2024, Chapitre I – Sein métastatique","True","2026-05-02"
"ONC-SYN-041","traitement","poumon","CBNPC EGFR muté avec métastases osseuses","IV avec métastases osseuses","CBNPC EGFR muté stade IV osseux — Osimertinib + soins osseux","En cas de métastases osseuses dans un CBNPC EGFR muté, le traitement oncologique par Osimertinib est associé à une prise en charge des complications osseuses. Un biphosphonate (Acide zolédronique) ou le Denosumab est recommandé pour réduire le risque de complications squelettiques. La radiothérapie palliative est indiquée pour les douleurs réfractaires ou les fractures pathologiques. La surveillance par TEP-TDM ou scintigraphie osseuse permet d'évaluer la réponse.","{""nom"": ""Osimertinib + Acide zolédronique"", ""medicaments"": [{""nom"": ""Osimertinib"", ""dose"": ""80 mg/j"", ""voie"": ""orale"", ""jour"": ""continu""}, {""nom"": ""Acide zolédronique"", ""dose"": ""4 mg"", ""voie"": ""IV 15 min"", ""jour"": ""mensuel""}], ""frequence"": ""Osimertinib continu, Zolédronique mensuel"", ""cycles"": ""Jusqu'à progression"", ""remarques"": ""Bilan dentaire avant biphosphonate. Supplémentation calcium + vitamine D. Surveillance créatinine.""}","ostéonécrose mandibulaire (rare, biphosphonate); hypocalcémie; toxicités Osimertinib habituelles","poumon; CBNPC; EGFR; Osimertinib; métastases osseuses; Zolédronique; biphosphonate","Femme de 55 ans, CBNPC adénocarcinome EGFR L858R, stade IV (métastases osseuses vertébrales D5-D6 + côtes). Douleur dorsale grade 3. RT palliative D5-D6 (30 Gy / 10 fractions). Osimertinib 80mg/j + Acide zolédronique mensuel. Bilan dentaire préalable. Douleur contrôlée à S3.","Guide AMFROM 2024, Chapitre IV – CBNPC avancé","True","2026-05-02"
"ONC-SYN-042","traitement","colorectal","métastatique avec maladie oligométastatique hépatique","IV oligométastatique","Cancer colorectal oligométastatique hépatique — stratégie de conversion vers résection","Dans les cancers colorectaux métastatiques avec atteinte hépatique isolée et potentiellement résécable, l'objectif du traitement est la conversion vers une résection chirurgicale curative. Une chimiothérapie intensive (FOLFOX ou FOLFIRI) associée à une thérapie ciblée (Bevacizumab si RAS muté, Cétuximab si RAS/BRAF sauvage et côlon gauche) est utilisée. L'évaluation de la résécabilité est réévaluée toutes les 4-6 cycles par une RCP chirurgico-oncologique.","","","colorectal; oligométastatique; foie; chirurgie; conversion; FOLFOX; Cétuximab","Homme de 59 ans, cancer du rectosigmoïde RAS sauvage, 3 métastases hépatiques initialement non résécables. 1ère ligne : FOLFIRI + Cétuximab. Réponse majeure à 4 mois. Discussion RCP chirurgicale : résection hépatique en 2 temps programmée. Hépatectomie droite + cunéiforme gauche réalisée. Pas de récidive à 18 mois.","Guide AMFROM 2024, Chapitre III – Colorectal métastatique","True","2026-05-02"
"ONC-SYN-043","traitement","sein","RH+ HER2- métastatique osseux exclusif","IV osseux exclusif","Sein RH+ HER2- métastatique osseux — hormonothérapie + CDK4/6 + biphosphonate","Les cancers du sein RH+/HER2- métastatiques à prédominance osseuse représentent un sous-groupe de bon pronostic relatif. La chimiothérapie n'est pas en première intention. L'association d'un inhibiteur CDK4/6 (Palbociclib, Ribociclib ou Abemaciclib) à l'hormonothérapie (anti-aromatase ou Fulvestrant) est le standard. La protection osseuse par biphosphonate ou Denosumab est indiquée. La survie sans progression médiane dépasse 24 mois dans les études.","{""nom"": ""Ribociclib + Létrozole (1ère ligne métastatique RH+ HER2-)"", ""medicaments"": [{""nom"": ""Ribociclib"", ""dose"": ""600 mg/j pendant 21 jours"", ""voie"": ""orale"", ""jour"": ""J1-J21""}, {""nom"": ""Létrozole"", ""dose"": ""2,5 mg/j"", ""voie"": ""orale"", ""jour"": ""continu""}, {""nom"": ""Acide zolédronique"", ""dose"": ""4 mg IV mensuel"", ""voie"": ""IV"", ""jour"": ""mensuel""}], ""frequence"": ""Ribociclib 3 semaines ON / 1 semaine OFF. Létrozole continu."", ""cycles"": ""Jusqu'à progression"", ""remarques"": ""ECG avant traitement et à J15 (risque allongement QT Ribociclib). NFS mensuelle.""}","neutropénie (Ribociclib); allongement QT; nausées; fatigue; bouffées de chaleur (Létrozole)","sein; RH+; HER2-; métastatique; osseux; Ribociclib; Létrozole; CDK4/6","Femme de 67 ans ménopausée, rechute métastatique osseuse (vertèbres, bassin) 5 ans après traitement adjuvant d'un cancer du sein RH+ HER2-. Pas d'atteinte viscérale. 1ère ligne métastatique : Ribociclib + Létrozole + Zolédronique mensuel. Neutropénie grade 3 à C1 : réduction de dose Ribociclib à 400mg. Stabilité osseuse à 12 mois.","Guide AMFROM 2024, Chapitre I – Sein métastatique RH+","True","2026-05-02"
"ONC-026","diagnostic","poumon","CBNPC / CBPC","tout stade","Bilan diagnostique du cancer broncho-pulmonaire — imagerie et histologie","Le diagnostic de cancer bronchique repose sur la confirmation histologique par biopsie (bronchoscopie, biopsie transthoracique, médiastinoscopie ou biopsie d'une métastase). Le bilan d'extension comprend un scanner thoraco-abdomino-pelvien avec injection de produit de contraste et une TEP-TDM au FDG (gold standard pour le staging). Une IRM cérébrale est indiquée systématiquement pour les CBNPC de stade III-IV et tous les CBPC. La fibroscopie bronchique reste l'examen de première intention pour les tumeurs centrales. Le médiastin est évalué par écho-endoscopie (EBUS) si adénopathies suspectes. La classification TNM 8ème édition est utilisée. Pour les CBNPC avancés, le typage moléculaire complet (NGS) et le score PD-L1 sont indispensables avant tout traitement.","","","poumon; CBNPC; CBPC; TEP-TDM; biopsie; EBUS; NGS; PD-L1; diagnostic; TNM","Homme de 63 ans, fumeur 40 PA, toux productive + hémoptysie. Radiographie : opacité hilaire gauche. Scanner : masse de 4 cm lobe supérieur gauche + adénopathies médiastinales. EBUS : adénopathie N2 positive. TEP : hyperfixation pulmonaire + médiastinale, sans métastase à distance. Biopsie bronchique : carcinome épidermoïde. NGS : pas de driver. PD-L1 = 30%. Stade IIIA.","Guide AMFROM 2024, Chapitre IV – CBNPC","False","2026-05-02"
"ONC-027","suivi","poumon","CBNPC traité","post-traitement / en cours","Surveillance et suivi du CBNPC en cours de traitement ou après traitement curatif","Sous ITK (Osimertinib, Alectinib) : consultation mensuelle les 3 premiers mois, puis tous les 3 mois. Scanner thoracique tous les 3 mois pour évaluer la réponse. Bilan hépatique et NFS mensuelle. ECG sous Osimertinib si antécédent cardiaque. Après traitement curatif (stades I-III résécables) : scanner TAP tous les 6 mois pendant 3 ans, puis annuel. Pas de TEP systématique en dehors de suspicion de rechute. Sous immunothérapie : surveillance des toxicités immunitaires (TSH mensuelle, bilan hépatique, recherche de signes de pneumopathie, colite, endocrinopathie). L'ADN tumoral circulant (ctDNA) est un outil de surveillance émergent pour détecter les résistances précoces sous ITK.","","","poumon; CBNPC; suivi; surveillance; ITK; immunothérapie; scanner; ctDNA","Femme de 52 ans, CBNPC EGFR muté stade IV, sous Osimertinib. Consultation M3 : scanner stable. TSH normale. Bilan hépatique : légère élévation ALAT (1,5N). Surveillance renforcée, pas d'interruption. ADN circulant (ctDNA) à M12 : détection mutation C797S émergente. Changement de stratégie thérapeutique décidé en RCP.","Guide AMFROM 2024, Chapitre IV – CBNPC suivi","False","2026-05-02"
"ONC-028","suivi","colorectal","adénocarcinome opéré","post-chirurgie curative (II-III)","Programme de surveillance post-opératoire du cancer colorectal réséqué","Après résection curative d'un cancer colorectal, une surveillance structurée est essentielle pour détecter précocement les rechutes résécables. Le programme standard inclut : consultation tous les 3-4 mois les 3 premières années, puis semestrielle années 4-5. Dosage de l'ACE à chaque consultation (marqueur de rechute). Scanner TAP avec injection tous les 6 mois les 3 premières années, puis annuel jusqu'à 5 ans. Coloscopie à 1 an post-opératoire (si complète en préopératoire), puis tous les 3-5 ans. IRM hépatique si nodule hépatique indéterminé au scanner. Pas de TEP systématique sauf si ACE élévation sans lésion identifiée sur scanner.","","","colorectal; suivi; ACE; coloscopie; scanner; rechute; post-opératoire; surveillance","Homme de 67 ans, cancer du côlon stade III opéré, chimiothérapie FOLFOX adjuvante terminée. Programme de surveillance : consultation + ACE toutes les 3 mois. Scanner à M6 : RAS. ACE à M18 : élévation de 2 à 8 ng/mL. Scanner : nodule hépatique de 1,5 cm segment VI. IRM confirme une métastase unique résécable. Hépatectomie partielle réalisée à M20.","Guide AMFROM 2024, Chapitre III – Colorectal suivi","False","2026-05-02"
"ONC-029","diagnostic","ORL","carcinomes épidermoïdes ORL","tout stade","Bilan diagnostique des carcinomes épidermoïdes des VADS","Le bilan diagnostique des cancers des voies aéro-digestives supérieures (VADS) comprend : nasofibroscopie + laryngoscopie indirecte, biopsie de la tumeur primitive, IRM cervicofaciale (référence pour l'évaluation de l'extension locale), scanner cervicothoracique. La TEP-TDM est recommandée pour les stades III-IV afin d'éliminer une deuxième localisation ou des métastases à distance. Bilan dentaire systématique avant radiothérapie. Recherche du statut HPV (Human Papillomavirus) pour les oropharynx (p16 par IHC) : facteur pronostique favorable. Évaluation nutritionnelle et bilan tabac-alcool indispensables car fréquemment associés. Le bilan biologique comprend : NFS, bilan hépatique, créatinine et bilan audiologique avant Cisplatine.","","","ORL; VADS; HPV; p16; IRM cervicale; TEP; diagnostic; laryngoscopie; biopsie","Homme de 58 ans, fumeur-alcoolique, dysphagie progressive + adénopathie cervicale gauche. Nasofibroscopie : tumeur oropharynx gauche. Biopsie : carcinome épidermoïde p16+ (HPV+). IRM : T3 N2b. TEP : pas de métastase à distance. Bilan dentaire : 3 extractions nécessaires avant RT. Audition normale. Stade IVA. Décision RCP : RCC avec Cisplatine hebdomadaire.","Guide AMFROM 2024, Chapitre V – ORL","False","2026-05-02"
"ONC-030","suivi","ORL","VADS après RCC","post-traitement","Surveillance post-thérapeutique des cancers ORL après radio-chimiothérapie","Après radio-chimiothérapie concomitante des cancers ORL, la surveillance est rapprochée les premiers mois en raison des toxicités tardives de la radiothérapie. Consultations tous les 2 mois les 6 premiers mois, puis tous les 3 mois jusqu'à 2 ans, puis semestrielle jusqu'à 5 ans, puis annuelle. Évaluation de la réponse clinique à 6-8 semaines post-RCC : nasofibroscopie + examen cervical. TEP-TDM à 3 mois si réponse incomplète clinique. Surveillance des complications tardives : xérostomie (sécheresse salivaire définitive), fibrose cervicale, ostéoradionécrose mandibulaire, hypothyroïdie (si irradiation thyroïde). TSH annuelle si cervicothérapie irradiée. Rééducation orthophonique si troubles de déglutition.","","","ORL; VADS; suivi; xérostomie; ostéoradionécrose; hypothyroïdie; TEP; surveillance post-RT","Homme de 55 ans, cancer de l'oropharynx HPV+ traité par RCC. Évaluation à M3 : réponse complète clinique et TEP négative. Xérostomie grade 2 persistante. TSH à M6 : hypothyroïdie fruste (TSH = 7 mUI/L). Lévothyroxine débutée. Pas de rechute à 3 ans. Sevrage tabac-alcool maintenu. Suivi nutritionnel trimestriel.","Guide AMFROM 2024, Chapitre V – ORL suivi","False","2026-05-02"
"ONC-031","diagnostic","prostate","adénocarcinome prostatique","tout stade","Bilan diagnostique et stratification du risque dans le cancer de prostate","Le diagnostic du cancer de la prostate repose sur les biopsies prostatiques (écho-guidées ou fusion IRM-écho), indiquées devant une élévation du PSA ou un toucher rectal (TR) suspect. L'IRM prostatique multiparamétrique (score PI-RADS 1-5) est réalisée avant les biopsies pour guider les prélèvements et évaluer l'extension locale. La classification de D'Amico stratifie le risque en 3 groupes : Bas risque (PSA < 10, Gleason ≤ 6, stade ≤ T2a), Risque intermédiaire (PSA 10-20, Gleason 7, ou T2b), Haut risque (PSA > 20, Gleason 8-10, ou ≥ T2c). Le bilan d'extension (scanner TAP, scintigraphie osseuse ou TEP-PSMA) est réservé aux formes de haut risque. Le score de Gleason/Grade Group guide la décision thérapeutique.","","","prostate; PSA; Gleason; PI-RADS; IRM prostatique; D'Amico; biopsie; TEP-PSMA; diagnostic","Homme de 66 ans, PSA = 12 ng/mL (en hausse depuis 2 ans). TR : lobe droit induré. IRM : lésion PI-RADS 5 apex droit. Biopsies fusion : 4/12 carottes positives, Gleason 4+3=7 (grade group 3). Scanner TAP normal. Scintigraphie osseuse : pas de métastase. Classification D'Amico : risque intermédiaire défavorable. Décision : traitement curatif.","Guide AMFROM 2024, Chapitre VII – Cancer de la prostate","False","2026-05-02"
"ONC-032","suivi","prostate","traité (curatif ou hormono)","post-traitement","Surveillance du cancer de prostate après traitement curatif ou hormonal","Après prostatectomie radicale : PSA indétectable attendu à 6 semaines post-op. Surveillance PSA tous les 3-6 mois les 2 premières années, puis semestrielle. Rechute biologique définie par PSA ≥ 0,2 ng/mL confirmé (deux dosages) : indication à la radiothérapie de rattrapage ± hormonothérapie courte durée. Après radiothérapie : nadir PSA attendu à 18-24 mois. Rechute biologique selon critères Phoenix (nadir + 2 ng/mL). Sous hormonothérapie longue durée (analogue LH-RH) : testostéronémie de castration (<50 ng/dL) vérifiée à 3 mois. Densitométrie osseuse annuelle (risque ostéoporose sous castration). Calcium + Vitamine D systématiques.","","","prostate; PSA; suivi; rechute biologique; castration; ostéoporose; surveillance; Phoenix","Homme de 70 ans, cancer de prostate haut risque traité par radiothérapie + analogue LH-RH 3 ans. PSA nadir = 0,05 ng/mL à 18 mois. Fin de l'hormonothérapie à 3 ans. Densitométrie osseuse : ostéopénie (T-score = -1,8). Calcium + VitD + exercice physique. PSA à 5 ans : 0,3 ng/mL. Surveillance maintenue, pas de rechute significative à 7 ans.","Guide AMFROM 2024, Chapitre VII – Prostate suivi","False","2026-05-02"
"ONC-033","diagnostic","pancreas","adénocarcinome pancréatique","tout stade","Bilan diagnostique et classification du cancer du pancréas","L'adénocarcinome du pancréas est une tumeur de mauvais pronostic, souvent diagnostiquée à un stade avancé. Le bilan initial comprend : scanner TAP pancréatique avec protocole spécifique (triphasique), IRM pancréatique + bili-IRM. La classification en 4 catégories guide la stratégie : résécable (pas de contact vasculaire), borderline (contact veineux <180° ou artériel <90°), localement avancé (contact vasculaire dépassant ces limites), métastatique. Bilan biologique : CA 19-9, bilirubine totale, bilan hépatique. Biopsie nécessaire avant chimiothérapie en situation non résécable. Le test BRCA1/2 et PALB2 germinaux est recommandé car influence le traitement (platine en première ligne si BRCA muté, puis Olaparib en maintenance).","","","pancréas; CA 19-9; scanner triphasique; résécable; borderline; BRCA; diagnostic; adénocarcinome","Homme de 69 ans, ictère progressif + douleur dorsale. Scanner : masse céphalique pancréatique de 3 cm au contact de la veine porte (<180°). CA 19-9 = 450 UI/mL. Bili-IRM confirme dilatation des voies biliaires. Classification : tumeur borderline. Test BRCA : négatif. Décision RCP : chimiothérapie néoadjuvante mFOLFIRINOX x4 cycles, réévaluation chirurgicale.","Guide AMFROM 2024, Chapitre III – Cancer du pancréas","False","2026-05-02"
"ONC-034","traitement","pancreas","adénocarcinome métastatique","métastatique / localement avancé","FOLFIRINOX modifié — standard de 1ère ligne pour cancer du pancréas métastatique","Le mFOLFIRINOX (FOLFIRINOX modifié) est devenu le standard de première ligne pour les adénocarcinomes du pancréas métastatiques chez les patients en bon état général (OMS 0-1). Il a démontré sa supériorité sur la Gemcitabine seule avec une amélioration de la survie globale de 6,8 à 11,1 mois (étude PRODIGE 4/ACCORD 11). Les doses sont réduites par rapport au FOLFIRINOX standard pour améliorer la tolérance (réduction de l'Irinotécan à 150 mg/m² et suppression du bolus de 5-FU). Si patient non éligible au mFOLFIRINOX (OMS ≥2, âge avancé, comorbidités) : Gemcitabine 1000 mg/m² ou association Gemcitabine + Capécitabine.","{""nom"": ""mFOLFIRINOX (Cancer du pancréas métastatique)"", ""medicaments"": [{""nom"": ""Oxaliplatine"", ""dose"": ""85 mg/m²"", ""voie"": ""IV 2h"", ""jour"": ""J1""}, {""nom"": ""Acide folinique"", ""dose"": ""400 mg/m²"", ""voie"": ""IV 2h"", ""jour"": ""J1""}, {""nom"": ""Irinotécan"", ""dose"": ""150 mg/m²"", ""voie"": ""IV 90 min (en Y avec folinique)"", ""jour"": ""J1""}, {""nom"": ""5-Fluorouracile"", ""dose"": ""2400 mg/m²"", ""voie"": ""IV perfusion continue 46h"", ""jour"": ""J1-J2""}], ""frequence"": ""Toutes les 2 semaines"", ""cycles"": ""Jusqu'à progression ou toxicité inacceptable"", ""remarques"": ""Pas de bolus de 5-FU (différence avec FOLFIRINOX classique). G-CSF recommandé si neutropénie. Drainage biliaire indispensable avant chimio si ictère.""}","neutropénie fébrile; diarrhées (Irinotécan); neuropathie (Oxaliplatine); nausées; fatigue; alopécie; mucite","pancréas; mFOLFIRINOX; Oxaliplatine; Irinotécan; 5-FU; métastatique; PRODIGE4; Gemcitabine","Homme de 62 ans, OMS 0, adénocarcinome du pancréas métastatique (foie + péritoine). CA 19-9 = 2400. Drainage biliaire par prothèse endoscopique réalisé. Traitement : mFOLFIRINOX. Réponse partielle à C4 (CA 19-9 descendu à 450). Neuropathie grade 1. Maintien du traitement. Progression hépatique à C14 (7 mois). 2ème ligne : Gemcitabine + Nab-Paclitaxel.","Guide AMFROM 2024, Chapitre III – Cancer du pancréas métastatique","False","2026-05-02"
"ONC-035","traitement","pancreas","adénocarcinome résécable (adjuvant)","I-II post-chirurgie","Chimiothérapie adjuvante après résection curative du cancer du pancréas","Après résection curative d'un cancer du pancréas (duodéno-pancréatectomie céphalique ou pancréatectomie gauche), une chimiothérapie adjuvante est indiquée pour tous les patients. Le mFOLFIRINOX pendant 6 mois (12 cycles) est le standard pour les patients OMS 0-1 sans contre-indication cardiaque ni diarrhée préexistante (étude PRODIGE 24 : amélioration de la survie médiane de 35 à 54 mois). Alternative pour patients moins robustes : Gemcitabine 1000 mg/m² J1-J8-J14 toutes les 4 semaines x6 mois, ou Gemcitabine + Capécitabine (étude ESPAC-4). Début de la chimiothérapie adjuvante dans les 8-12 semaines post-opératoires. La Gemcitabine + Nab-Paclitaxel n'est pas supérieure à la Gemcitabine seule en adjuvant.","{""nom"": ""mFOLFIRINOX adjuvant (cancer du pancréas)"", ""medicaments"": [{""nom"": ""Oxaliplatine"", ""dose"": ""85 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1""}, {""nom"": ""Acide folinique"", ""dose"": ""400 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1""}, {""nom"": ""Irinotécan"", ""dose"": ""150 mg/m²"", ""voie"": ""IV"", ""jour"": ""J1""}, {""nom"": ""5-Fluorouracile"", ""dose"": ""2400 mg/m²"", ""voie"": ""IV 46h"", ""jour"": ""J1-J2""}], ""frequence"": ""Toutes les 2 semaines"", ""cycles"": ""12 cycles (6 mois)"", ""remarques"": ""Alternative si fragilité : Gemcitabine 1000mg/m² J1-J8-J14 toutes les 4 semaines x6 cures.""}","neuropathie; neutropénie; diarrhées; fatigue; nausées","pancréas; adjuvant; mFOLFIRINOX; Gemcitabine; résection; DPC; PRODIGE24","Femme de 58 ans, adénocarcinome céphalique du pancréas pT3 N1 (2 ganglions). DPC réalisée, marges R0. OMS 0. Décision : mFOLFIRINOX adjuvant x12 cycles. Début à J55 post-op. Tolérance : neuropathie grade 1 (pieds), diarrhée grade 1. Pas d'interruption. CA 19-9 normalisé avant fin du traitement. Pas de rechute à 30 mois.","Guide AMFROM 2024, Chapitre III – Pancréas adjuvant","False","2026-05-02"
"ONC-036","diagnostic","cerebral","glioblastome (grade IV)","localisé / récidivant","Diagnostic et bilan moléculaire des tumeurs cérébrales malignes de haut grade","Le glioblastome (GBM, grade IV OMS) est la tumeur cérébrale primitive maligne la plus fréquente chez l'adulte. L'IRM cérébrale avec injection de gadolinium est l'examen de référence (prise de contraste en couronne, nécrose centrale). Le diagnostic histologique est confirmé après exérèse ou biopsie stéréotaxique. Les marqueurs moléculaires essentiels : mutation IDH1/2 (pronostic favorable si muté), méthylation du promoteur MGMT (prédictif de la réponse au Temozolomide), co-délétion 1p/19q (spécifique des oligodendrogliomes). Classification OMS 2021 : glioblastome IDH sauvage (grade IV) vs astrocytome IDH muté (grade II-IV). Ces distinctions changent fondamentalement le pronostic et le traitement.","","","glioblastome; cérébral; IRM; IDH; MGMT; 1p19q; grade IV; Temozolomide; diagnostic; OMS 2021","Homme de 64 ans, céphalées progressives + déficit moteur bras droit. IRM : prise de contraste en anneau frontale gauche 4 cm avec œdème péri-lésionnel. Exérèse chirurgicale maximale. Histologie : glioblastome grade IV. Moléculaire : IDH sauvage, MGMT méthylé. Traitement post-op : radiochimiothérapie Stupp. Pronostic amélioré par méthylation MGMT.","Guide AMFROM 2024, Chapitre IX – Tumeurs cérébrales","False","2026-05-02"
